University,City,State,Denomination,Rank,Market,Academic,aCFI,CSI_Score,CSI_Quantile,Endowment,Latitude,Longitude
Bethany Lutheran College,Mankato,MN,Lutheran,483,0.3494108204690343,0.4768669893179986,0.5042085309311279,0.4368393523488721,4,54118396.307,44.16674125,-93.99104281930204
Edward Waters University,Jacksonville,FL,Methodist,484,0.4696460892917329,0.3377021318660251,0.4535363173569967,0.4368233614740524,4,1680649.0,30.34419595,-81.68356941956846
Greenville University,Greenville,IL,Methodist,486,0.3255617868404858,0.6857413128669286,0.422073607965674,0.436185704907472,4,32434902.025,38.89648605,-89.41250813892516
William Peace University,Raleigh,NC,Presbyterian,487,0.3729686840081777,0.4951607491298403,0.469218924347763,0.4359142240099001,4,42727479.414,35.7895729,-78.63722585982836
Marymount Manhattan College,New York,NY,Roman Catholic,488,0.4532312569160653,0.3634165663981389,0.4537544247326047,0.4354866720417109,4,33134238.345,40.76893065,-73.959696351204
Monmouth College,Monmouth,IL,Presbyterian,489,0.3189763583090494,0.4966788511176125,0.5212440701473808,0.4354466248991814,4,136529838.578,40.9144918,-90.63839026946084
Methodist University,Fayetteville,NC,Methodist,491,0.4286124502708903,0.3684292129137643,0.4751531067236316,0.4352073918355879,4,73000744.836,35.13408025,-78.87242991721607
Toccoa Falls College,Toccoa Falls,GA,Evangelical Christian,492,0.3965547721570646,0.4970864485617349,0.4417353580179528,0.4347323247318856,4,4440957.503,34.5937089,-83.35634657362554
Davis & Elkins College,Elkins,WV,Presbyterian,493,0.2939222874784656,0.4022913451758462,0.5911808497146246,0.4345481387190828,4,71626176.208,38.93325345,-79.84355971087138
Hastings College,Hastings,NE,Presbyterian,494,0.3887304393284468,0.4649258091292408,0.4651103668798462,0.4345291407576956,4,107182295.274,40.5943839,-98.36549671078184
Aquinas College,Grand Rapids,MI,Roman Catholic,496,0.3736845209532139,0.5378322713204149,0.4430694740850337,0.4342655144949716,4,49345463.783,42.9597531,-85.62498744066667
Southern Nazarene University,Bethany,OK,Protestant,499,0.369732391274858,0.4978485408421511,0.4654669165571923,0.4336557665913501,4,56401621.176,35.5138091,-97.62930068685996
